iter	TotalF1:average=Micro	MultiClass
89	0.8272080046	0.5897938602
90	0.827592842	0.587876156
91	0.8291321916	0.5853636263
92	0.8295170291	0.583078983
93	0.83086396	0.5806746418
94	0.8329805657	0.5776586101
95	0.8343274966	0.5750509985
96	0.8350971714	0.5733263237
97	0.8372137772	0.57118078
98	0.8377910333	0.5680737535
99	0.8395228016	0.5654879862
100	0.8391379642	0.5640479465
101	0.8408697325	0.5615618179
102	0.8420242448	0.5588210258
103	0.8427939196	0.5569536812
104	0.8445256879	0.5546481801
105	0.845102944	0.5515637026
106	0.8462574562	0.5494059918
107	0.8491437368	0.5476559024
108	0.8501058303	0.5453758159
109	0.8501058303	0.543368949
110	0.8527996921	0.5411535971
111	0.8537617856	0.5393075332
112	0.8543390418	0.5372482866
113	0.8543390418	0.53540786
114	0.8560708101	0.5320528877
115	0.857417741	0.52964756
116	0.8587646719	0.5275055396
117	0.8587646719	0.5262499793
118	0.8616509525	0.5234401777
119	0.8629978834	0.521616334
120	0.8633827208	0.520034564
121	0.864537233	0.5179965041
122	0.8662690013	0.5159790203
123	0.8693477006	0.5133164453
124	0.8693477006	0.5116186885
125	0.8714643063	0.5086697404
126	0.871656725	0.5078094465
127	0.8726188185	0.5048525122
128	0.8724263998	0.5025717211
129	0.8733884934	0.5004836305
130	0.8751202617	0.4975751767
131	0.8755050991	0.4965463286
132	0.87685203	0.4943941611
133	0.8795458919	0.4920295156
134	0.8805079854	0.4897473152
135	0.8812776602	0.4874387135
136	0.8824321724	0.4866047269
137	0.8828170098	0.4847628909
138	0.8843563594	0.4826951885
139	0.8851260343	0.4803227448
140	0.885318453	0.4786512952
141	0.88724264	0.4766519446
142	0.8870502213	0.4750402501
143	0.8885895709	0.4730570127
144	0.8899365018	0.470368976
145	0.892437945	0.4682489879
146	0.8934000385	0.4648944854
147	0.8934000385	0.463643388
148	0.8935924572	0.4625265515
149	0.8955166442	0.4610025165
150	0.8974408312	0.4585376686
151	0.8982105061	0.4566919805
152	0.9001346931	0.4552240363
153	0.9003271118	0.4533179355
154	0.9022512988	0.4512942976
155	0.9028285549	0.449695099
156	0.9030209736	0.4486316287
157	0.9041754859	0.4463136316
158	0.9041754859	0.4449361185
159	0.9051375794	0.4433567443
160	0.9068693477	0.4418660631
161	0.9070617664	0.4402686966
162	0.9074466038	0.438782807
163	0.9084086973	0.4373719401
164	0.9095632095	0.4353265988
165	0.9103328844	0.4332826199
166	0.9114873966	0.4309289671
167	0.9112949779	0.4300446678
168	0.9126419088	0.4282276358
169	0.9134115836	0.4269992754
170	0.913796421	0.4259101085
171	0.9147585145	0.4247321077
172	0.9159130267	0.4233556281
173	0.9166827016	0.4218556924
174	0.9174523764	0.4202438569
175	0.9182220512	0.4186052444
176	0.9186068886	0.4173390203
177	0.9195689821	0.4155029626
178	0.9203386569	0.4137632081
179	0.9214931691	0.4117430466
180	0.9216855878	0.4109258309
181	0.9214931691	0.4096188306
182	0.9232249375	0.4084858809
183	0.9243794497	0.4061279062
184	0.9253415432	0.4041031409
185	0.9264960554	0.402304524
186	0.9259187993	0.4003447752
187	0.9270733115	0.3992256838
