iter	Passed	Remaining
399	26691	40036
400	26753	39964
401	26807	39878
402	26871	39807
403	26931	39731
404	26988	39649
405	27076	39615
406	27152	39561
407	27219	39495
408	27280	39419
409	27342	39346
410	27414	39286
411	27505	39255
412	27604	39234
413	27666	39160
414	27740	39104
415	27802	39030
416	27877	38975
417	27946	38910
418	28029	38866
419	28107	38815
420	28178	38753
421	28240	38679
422	28298	38600
423	28358	38524
424	28431	38466
425	28505	38409
426	28576	38347
427	28636	38270
428	28696	38194
429	28756	38119
430	28827	38057
431	28895	37992
432	29009	37987
433	29085	37931
434	29157	37871
435	29230	37811
436	29304	37753
437	29369	37684
438	29439	37620
439	29513	37562
440	29583	37499
441	29658	37442
442	29752	37408
443	29833	37359
444	29901	37292
445	29964	37220
446	30037	37161
447	30106	37095
448	30184	37041
449	30257	36981
450	30327	36917
451	30386	36840
452	30448	36766
453	30507	36689
454	30574	36622
455	30652	36567
456	30724	36505
457	30789	36437
458	30855	36367
459	30927	36306
460	31004	36249
461	31072	36183
462	31136	36113
463	31205	36047
464	31274	35982
465	31354	35929
466	31431	35873
467	31500	35808
468	31563	35736
469	31626	35664
470	31689	35592
471	31754	35522
472	31828	35462
473	31897	35397
474	31962	35326
475	32023	35252
476	32083	35177
477	32147	35106
478	32208	35032
479	32262	34951
480	32310	34863
481	32360	34777
482	32407	34688
483	32454	34600
484	32506	34516
485	32554	34430
486	32605	34345
487	32656	34262
488	32706	34177
489	32753	34090
490	32802	34005
491	32854	33923
492	32905	33839
493	32957	33758
494	33008	33674
495	33073	33606
496	33135	33535
497	33198	33465
498	33260	33393
499	33317	33317
500	33374	33241
501	33429	33163
502	33498	33099
503	33563	33030
504	33622	32956
505	33683	32884
506	33745	32813
507	33799	32735
508	33854	32657
509	33914	32584
510	33969	32506
511	34023	32429
512	34076	32349
513	34126	32267
514	34194	32202
515	34270	32145
516	34336	32078
517	34397	32007
518	34456	31933
519	34512	31857
520	34565	31778
521	34621	31703
522	34681	31631
523	34741	31558
524	34814	31499
525	34891	31442
526	34972	31388
527	35051	31333
528	35128	31277
529	35194	31210
530	35254	31137
531	35320	31071
532	35387	31005
533	35451	30937
534	35520	30873
535	35596	30814
536	35666	30751
537	35755	30704
538	35826	30641
539	35903	30584
540	35981	30527
541	36070	30480
542	36139	30415
543	36207	30350
544	36278	30287
545	36361	30235
546	36422	30163
547	36506	30111
548	36581	30051
549	36651	29987
550	36717	29920
551	36783	29853
552	36848	29785
553	36937	29736
554	37021	29683
555	37085	29614
556	37136	29535
557	37190	29458
558	37251	29388
559	37319	29322
560	37390	29259
561	37473	29204
562	37547	29144
563	37622	29084
564	37694	29021
565	37770	28961
566	37868	28919
567	37949	28863
568	38025	28803
569	38096	28739
570	38177	28683
571	38268	28634
572	38337	28569
573	38423	28516
574	38509	28463
575	38577	28397
576	38640	28327
577	38694	28250
578	38762	28185
579	38844	28129
580	38927	28073
581	39046	28043
582	39137	27993
583	39215	27934
584	39293	27875
585	39351	27801
586	39416	27732
587	39477	27660
588	39548	27596
589	39619	27532
590	39685	27464
591	39744	27391
592	39811	27324
593	39895	27268
594	39977	27211
595	40056	27152
596	40120	27082
597	40175	27007
598	40230	26932
599	40299	26866
600	40395	26818
601	40462	26751
602	40524	26680
603	40590	26612
604	40655	26543
605	40718	26473
606	40777	26401
607	40841	26331
608	40899	26259
609	40964	26190
610	41024	26118
611	41100	26057
612	41152	25980
613	41226	25917
614	41288	25847
615	41340	25770
616	41414	25707
617	41467	25632
618	41531	25562
619	41591	25491
620	41643	25414
621	41692	25337
622	41738	25257
623	41787	25179
624	41861	25117
625	41919	25044
626	41975	24971
627	42107	24942
628	42262	24927
629	42371	24885
630	42462	24831
631	42538	24769
632	42638	24720
633	42717	24660
634	42787	24594
635	42879	24540
636	42983	24494
637	43052	24428
638	43116	24358
639	43172	24284
640	43230	24212
641	43295	24143
642	43359	24073
643	43433	24009
644	43530	23958
645	43596	23890
646	43681	23832
647	43763	23772
648	43839	23709
649	43925	23652
650	43996	23586
651	44054	23513
652	44113	23441
653	44171	23369
654	44234	23299
655	44290	23225
656	44348	23153
657	44395	23075
658	44445	22998
659	44503	22925
660	44556	22851
661	44605	22774
662	44654	22697
663	44711	22625
664	44767	22551
665	44816	22475
666	44862	22397
667	44908	22319
668	44954	22242
669	45007	22167
670	45057	22092
671	45158	22041
672	45252	21987
673	45346	21933
674	45469	21892
675	45672	21890
676	45784	21844
677	45847	21774
678	45991	21742
679	46115	21701
680	46217	21649
681	46336	21605
682	46449	21558
683	46540	21500
684	46619	21438
685	46694	21373
686	46788	21317
687	46847	21244
688	46917	21177
689	46999	21115
690	47110	21066
691	47211	21013
692	47300	20954
693	47469	20930
694	47620	20897
695	47719	20843
696	47874	20811
697	48002	20769
698	48126	20724
699	48251	20679
700	48347	20621
701	48436	20561
702	48523	20500
703	48661	20460
704	48769	20407
705	48882	20356
706	48999	20306
707	49103	20251
708	49223	20203
709	49340	20153
710	49444	20097
711	49540	20038
712	49664	19991
713	49795	19946
714	49914	19896
715	50054	19853
716	50157	19797
717	50271	19744
718	50393	19694
719	50528	19649
720	50617	19587
721	50707	19524
722	50795	19460
723	50886	19398
724	50969	19333
725	51058	19270
726	51161	19211
727	51269	19155
728	51359	19092
729	51450	19029
730	51547	18968
731	51677	18919
732	51769	18857
733	51865	18795
734	51991	18745
735	52113	18693
736	52227	18637
737	52335	18579
738	52435	18519
739	52539	18459
740	52613	18389
741	52679	18317
742	52737	18241
743	52795	18166
744	52852	18090
745	52908	18014
746	52975	17942
747	53119	17895
748	53240	17841
749	53356	17785
750	53473	17729
751	53577	17669
752	53676	17607
753	53781	17546
754	53868	17480
755	53952	17413
756	54040	17347
757	54144	17286
758	54240	17222
759	54346	17162
760	54451	17101
761	54568	17043
762	54672	16982
763	54792	16925
764	54928	16873
765	55061	16820
766	55177	16761
767	55333	16715
768	55460	16659
769	55578	16601
770	55717	16549
771	55843	16492
772	55920	16421
773	55992	16349
774	56148	16301
775	56271	16243
776	56406	16188
777	56541	16134
778	56638	16068
779	56768	16011
780	56871	15947
781	56962	15879
782	57052	15811
783	57148	15745
784	57258	15682
785	57344	15612
786	57441	15546
787	57557	15485
788	57697	15429
789	57810	15367
790	57900	15298
791	58031	15240
792	58125	15172
793	58223	15105
794	58344	15044
795	58445	14978
796	58536	14909
797	58655	14847
798	58769	14784
799	58861	14715
800	58945	14644
801	59041	14576
802	59166	14515
803	59265	14447
804	59359	14378
805	59475	14315
806	59593	14252
807	59715	14189
808	59818	14122
809	59908	14052
810	60013	13985
811	60123	13920
812	60247	13857
813	60384	13797
814	60484	13729
815	60625	13670
816	60723	13601
817	60816	13531
818	60949	13469
819	61095	13411
820	61186	13340
821	61269	13267
822	61382	13201
823	61456	13126
824	61524	13050
825	61620	12980
826	61696	12906
827	61784	12834
828	61851	12758
829	61925	12683
830	62003	12609
831	62110	12541
832	62187	12467
833	62249	12390
834	62307	12312
835	62362	12233
836	62415	12155
837	62469	12076
838	62526	11998
839	62588	11921
840	62667	11848
841	62748	11774
842	62823	11700
843	62877	11621
844	62924	11542
845	62980	11464
846	63037	11386
847	63121	11314
848	63199	11240
849	63283	11167
850	63352	11092
851	63423	11017
852	63479	10939
853	63533	10861
854	63586	10783
855	63644	10706
856	63728	10633
857	63802	10559
858	63875	10484
859	63967	10413
860	64047	10339
861	64102	10262
862	64159	10185
863	64210	10107
864	64265	10029
865	64334	9954
866	64423	9882
867	64510	9810
868	64576	9734
869	64638	9658
870	64690	9581
871	64743	9503
872	64798	9426
873	64849	9348
874	64902	9271
875	64985	9198
876	65066	9125
877	65122	9048
878	65182	8972
879	65234	8895
880	65286	8818
881	65342	8741
882	65424	8668
883	65506	8595
884	65564	8519
885	65621	8443
886	65678	8367
887	65732	8290
888	65784	8213
889	65839	8137
890	65894	8061
891	65947	7984
892	65998	7908
893	66056	7832
894	66110	7755
895	66169	7680
896	66227	7604
897	66290	7529
898	66346	7453
899	66403	7378
900	66465	7303
901	66531	7228
902	66626	7156
903	66714	7084
904	66776	7009
905	66834	6934
906	66892	6858
907	66969	6785
908	67024	6709
909	67103	6636
910	67162	6561
911	67220	6486
912	67288	6411
913	67352	6337
914	67412	6262
915	67482	6188
916	67550	6114
917	67621	6040
918	67690	5966
